slope,variance,confinement,zc,n_windows,project,lag_type
-0.0034005798535405233,0.24721550314444696,0.49295774647887325,26,142,FLASK,aic
0.0009833170285749844,0.47427436297162645,0.16058394160583941,18,273,LIBREOFFICE,1
-0.00023640205418237148,0.34880475038818165,0.29927007299270075,22,273,LIBREOFFICE,2
-0.0030113318472826532,0.3242915732586758,0.36496350364963503,14,273,LIBREOFFICE,3
-0.006979420262330833,0.2837133663673255,0.31386861313868614,14,273,LIBREOFFICE,4
-0.0006206901490387095,0.20856345438711943,0.32116788321167883,13,273,LIBREOFFICE,6
0.0011093620071710806,0.3867091203444694,0.24087591240875914,26,273,LIBREOFFICE,aic
-0.0029274267773994485,0.4990494951566546,0.2346368715083799,18,358,FREEBSD,1
0.0007368441239893591,0.3906360096921029,0.1787709497206704,23,358,FREEBSD,2
-0.0037095742519194183,0.31275800211471555,0.2681564245810056,17,358,FREEBSD,3
0.0008543440387625017,0.32310395322671115,0.24022346368715083,14,358,FREEBSD,4
0.00012970236329584576,0.22500400175098928,0.3687150837988827,28,358,FREEBSD,6
-0.0007145697806805061,0.3144417034040084,0.29608938547486036,34,358,FREEBSD,aic
0.003790480549919087,0.4694972669990852,0.2076923076923077,16,260,WEBKIT,1
0.0016463131005766622,0.2897883452108928,0.25384615384615383,13,260,WEBKIT,2
7.440371220064014e-05,0.18051045427690288,0.4461538461538462,13,260,WEBKIT,3
-0.0009872943932949622,0.16120018777829562,0.46153846153846156,21,260,WEBKIT,4
0.0003980972165034972,0.09907279947731487,0.6461538461538462,31,260,WEBKIT,6
-0.00024951001236298915,0.37801005283577715,0.25384615384615383,21,260,WEBKIT,aic
-0.0025914322178041353,0.4434614645691984,0.16030534351145037,22,262,LLVM,1
0.0012948129601666092,0.2582968172837432,0.2900763358778626,14,262,LLVM,2
0.0006018312406924839,0.21909528179165016,0.2900763358778626,16,262,LLVM,3
0.004320064542251515,0.15404500498897095,0.4732824427480916,23,262,LLVM,4
-0.0016541818470004548,0.1399045829389558,0.46564885496183206,25,262,LLVM,6
-0.0012705525113861616,0.3099569019206259,0.2595419847328244,27,262,LLVM,aic
-0.01460903551750311,0.48532500323796257,0.08256880733944955,14,218,LINUX,1
0.00039874010323594987,0.27674801020735706,0.30275229357798167,11,218,LINUX,2
-0.0006429401055848291,0.20993934145722518,0.3853211009174312,13,218,LINUX,3
-0.009150872805142754,0.1955728795365944,0.48623853211009177,11,218,LINUX,4
-0.011950260961785508,0.2431185325758702,0.3669724770642202,11,218,LINUX,6
-0.014315305290864888,0.33684316485448085,0.24770642201834864,17,218,LINUX,aic
