project,metric,observed_value,simulated_median,simulated_q025,simulated_q975,percentile,pvalue,direction
MATPLOTLIB,confinement_ratio,0.6870229007633588,0.7442748091603053,0.549618320610687,0.8780534351145036,0.285,0.57,lower
ANSIBLE,zero_crossing_freq,0.11764705882352941,0.19117647058823528,0.08823529411764706,0.3235294117647059,0.133,0.266,lower
ANSIBLE,variance,0.09146003993189149,0.07546277842517893,0.037937380246305406,0.1668810882069481,0.681,0.6379999999999999,higher
ANSIBLE,confinement_ratio,0.6231884057971014,0.6666666666666666,0.4492753623188406,0.855072463768116,0.348,0.696,lower
OPENCV,zero_crossing_freq,0.11538461538461539,0.2076923076923077,0.12307692307692308,0.3076923076923077,0.021,0.042,lower
OPENCV,variance,0.1293530243490622,0.11363404322876611,0.07080080757820019,0.17558661158185263,0.686,0.6279999999999999,higher
OPENCV,confinement_ratio,0.5114503816793893,0.5877862595419847,0.44255725190839695,0.7177480916030532,0.146,0.292,lower
PANDAS,zero_crossing_freq,0.1,0.16,0.07,0.28,0.119,0.238,lower
PANDAS,variance,0.11669206061406043,0.0978813188001057,0.04791716156845067,0.20276590493755872,0.691,0.6180000000000001,higher
PANDAS,confinement_ratio,0.46534653465346537,0.6138613861386139,0.37623762376237624,0.802227722772277,0.098,0.196,lower
SCIKIT_LEARN,zero_crossing_freq,0.1643835616438356,0.1643835616438356,0.0547945205479452,0.3013698630136986,0.515,0.97,lower
SCIKIT_LEARN,variance,0.0671762333798164,0.05455468695522454,0.025989780274022607,0.11644573531079484,0.714,0.5720000000000001,higher
SCIKIT_LEARN,confinement_ratio,0.7162162162162162,0.7432432432432432,0.4864864864864865,0.918918918918919,0.444,0.888,lower
KUBERNETES,zero_crossing_freq,0.18571428571428572,0.11428571428571428,0.014285714285714285,0.24285714285714285,0.867,0.266,higher
KUBERNETES,variance,0.04995680597175626,0.13272140509471814,0.054005818773508116,0.3647361405948343,0.022,0.044,lower
KUBERNETES,confinement_ratio,0.8591549295774648,0.4647887323943662,0.1267605633802817,0.7323943661971831,1.0,0.0,higher
FLASK,zero_crossing_freq,0.1625,0.15,0.05,0.275,0.577,0.8460000000000001,higher
FLASK,variance,0.08720805959753833,0.07594392719047657,0.04039018905645716,0.13677624685523304,0.681,0.6379999999999999,higher
FLASK,confinement_ratio,0.5679012345679012,0.5555555555555556,0.30864197530864196,0.7654320987654321,0.55,0.8999999999999999,higher
LIBREOFFICE,zero_crossing_freq,0.15328467153284672,0.1897810218978102,0.10948905109489052,0.2773722627737226,0.209,0.418,lower
LIBREOFFICE,variance,0.061377330678431076,0.03990746614696991,0.022631030769784555,0.06785883825678406,0.941,0.1180000000000001,higher
LIBREOFFICE,confinement_ratio,0.7898550724637681,0.8478260869565217,0.7101449275362319,0.9492753623188406,0.212,0.424,lower
FREEBSD,zero_crossing_freq,0.17040358744394618,0.19282511210762332,0.12556053811659193,0.2600896860986547,0.274,0.548,lower
FREEBSD,variance,0.11172828300041725,0.06481944148596508,0.04455060120571034,0.09442674918724929,0.996,0.008000000000000007,higher
FREEBSD,confinement_ratio,0.5892857142857143,0.7232142857142857,0.5982142857142857,0.8214285714285714,0.022,0.044,lower
WEBKIT,zero_crossing_freq,0.2564102564102564,0.1794871794871795,0.05128205128205128,0.358974358974359,0.83,0.3400000000000001,higher
WEBKIT,variance,0.04924367226904634,0.05554736335048702,0.023077152037490882,0.12952928558102225,0.386,0.772,lower
WEBKIT,confinement_ratio,0.725,0.7,0.375,0.925,0.587,0.8260000000000001,higher
LLVM,zero_crossing_freq,0.17894736842105263,0.1631578947368421,0.08947368421052632,0.24736842105263157,0.667,0.6659999999999999,higher
LLVM,variance,0.11815484586208605,0.07368602566208712,0.04765676534092387,0.11712573301568649,0.977,0.04600000000000004,higher
LLVM,confinement_ratio,0.5654450261780105,0.680628272251309,0.5129581151832461,0.8010471204188482,0.085,0.17,lower
LINUX,zero_crossing_freq,0.11976047904191617,0.12574850299401197,0.05389221556886228,0.2215568862275449,0.49,0.98,lower
LINUX,variance,0.10031159976241659,0.11277312850355331,0.059872882875797534,0.21498892779931855,0.355,0.71,lower
LINUX,confinement_ratio,0.6071428571428571,0.5297619047619048,0.3273809523809524,0.7321428571428571,0.758,0.484,higher
